Area_sqft,Bedrooms,Bathrooms,Age_years,Parking,Location_Score,Price
1703,4,4,19,2,8.0,11810500
950,1,1,19,0,5.5,5375000
2148,6,1,6,3,5.7,13398000
3369,2,2,7,3,7.0,16441500
1735,1,4,10,0,9.9,11232500
2842,2,5,21,3,7.5,14997000
2476,2,5,14,2,8.0,14066000
1459,1,2,9,0,7.8,8876500
1064,1,1,7,0,9.3,7894000
1482,3,2,7,2,7.4,10297000
832,5,4,5,1,6.6,9202000
3890,3,2,21,1,5.2,16945000
3846,5,5,18,3,5.9,19521000
2659,3,4,22,0,8.0,14106500
613,2,1,15,3,7.8,6415500
3190,3,3,1,2,8.6,17355000
2824,3,4,3,0,5.4,14594000
2324,5,4,18,2,9.3,15054000
2916,5,4,20,0,6.9,15666000
3031,2,5,5,1,8.0,16258500
3314,3,3,22,2,8.4,16659000
2038,6,1,22,0,9.7,13213000
1032,4,5,13,2,8.8,10382000
740,2,3,24,0,8.1,6530000
1105,6,4,4,0,7.1,10707500
637,5,3,21,0,5.8,6899500
1438,6,2,9,3,6.2,11263000
1149,4,1,2,3,6.6,9461500
2936,1,3,4,0,7.0,14276000
3632,5,2,13,0,7.0,17962000
3832,6,5,4,3,9.1,21952000
2413,5,5,19,1,5.6,13935500
1973,1,2,18,1,5.9,9665500
3365,5,4,13,2,5.7,17507500
748,3,4,5,1,8.4,8628000
1954,5,3,25,3,7.1,12429000
2353,3,3,18,1,6.9,12695500
1079,2,1,18,0,9.3,7896500
1558,5,1,14,1,9.9,11713000
1082,5,3,14,1,7.0,9487000
952,5,3,17,2,8.0,9482000
2960,2,4,10,2,5.6,14700000
1202,4,3,5,1,8.8,10577000
687,3,4,16,2,8.7,8184500
1399,3,4,5,3,7.8,11066500
3680,2,5,25,0,7.4,17090000
3647,3,4,13,1,5.5,17214500
2025,1,5,10,0,7.8,11707500
1694,3,5,8,1,8.0,11929000
1794,1,5,1,1,8.6,11869000
3717,2,3,20,0,8.8,17429500
2094,2,5,3,3,7.9,13439000
2791,6,2,9,0,8.1,16158500
2216,1,4,19,1,9.6,12546000
2222,6,2,3,3,5.5,14027000
1711,3,5,9,2,8.6,12378500
3161,2,3,16,0,9.4,15923500
2545,6,5,10,3,9.3,17227500
2857,1,1,7,0,6.2,12929500
973,4,2,14,0,9.0,8905500
2856,6,5,12,0,7.8,17016000
3360,2,1,10,3,8.8,16680000
2536,1,5,10,3,5.4,13136000
3766,3,2,23,3,5.8,17051000
819,6,3,5,1,9.8,10636500
2651,6,4,23,1,5.5,14728500
2056,2,4,5,0,8.6,12586000
1778,5,3,6,1,9.5,13323000
1792,2,4,15,2,9.9,12082000
2134,4,5,24,0,9.6,13609000
3240,6,3,10,1,9.4,18700000
672,6,2,11,0,9.5,9202000
1176,6,5,1,0,9.2,12246000
3108,2,4,8,0,6.1,15118000
3849,1,4,21,0,9.4,17881500
3538,3,4,13,3,8.4,18393000
1003,1,4,14,3,9.9,9070500
2312,2,4,16,2,5.1,11932000
1962,2,3,21,0,7.2,10597000
2153,2,4,25,1,5.1,10725500
834,1,1,16,3,8.0,6719000
3739,2,1,15,2,8.6,17476500
2661,2,1,3,0,10.0,14463500
1153,3,5,17,0,8.9,9745500
1324,6,4,7,0,6.8,11204000
1819,2,2,10,0,5.7,9746500
2944,3,4,0,0,9.8,16924000
2953,2,5,16,2,5.3,14555500
3808,2,4,20,2,7.6,17968000
1398,3,4,8,0,9.8,11113000
2614,1,5,23,0,10.0,13999000
1947,6,1,21,3,8.7,13144500
3768,1,5,14,1,7.5,17688000
1655,5,2,24,0,6.1,10132500
1318,1,4,4,0,9.4,9873000
1712,5,3,2,1,9.6,13332000
2940,4,4,15,1,7.4,15900000
2095,6,5,18,1,5.3,13252500
956,3,5,10,3,6.9,9206000
2137,3,1,21,0,5.2,10309500
1809,3,5,11,3,9.5,13181500
610,3,3,19,2,9.4,7745000
2493,6,3,3,0,6.8,15195500
1373,4,3,2,3,5.7,10485500
1956,6,3,3,1,6.8,13516000
1630,4,3,0,0,9.1,12245000
1104,4,2,1,3,6.2,9494000
3789,3,1,19,1,8.4,17671500
1409,4,2,23,1,6.8,9301500
3443,6,4,3,1,5.6,18540500
3429,1,2,15,2,6.3,15271500
2317,6,2,20,2,8.1,14349500
2651,1,2,9,1,8.3,13448500
2170,6,1,14,2,6.4,13155000
1764,1,4,10,1,7.3,10494000
3421,3,1,6,2,10.0,17873500
1809,6,1,4,0,8.2,12711500
2145,1,3,20,2,8.2,11587500
1545,5,3,16,0,7.2,10887500
1664,3,4,21,0,5.7,9754000
3888,1,5,12,0,6.2,17488000
3333,1,5,10,0,9.3,16885500
1323,1,3,10,0,7.9,8690500
2423,4,4,25,2,5.2,12910500
3453,4,4,23,0,9.7,18015500
3399,5,1,18,1,7.2,16876500
2813,1,4,1,1,6.9,14455500
1184,4,2,7,1,9.8,10514000
3540,1,1,14,3,7.5,16090000
3694,2,3,22,0,8.4,17089000
3767,1,4,6,0,9.5,18384500
3785,2,1,14,3,7.6,17487500
2572,6,5,17,0,6.2,15132000
2083,5,2,15,1,7.0,12640500
1238,3,1,1,1,7.6,9323000
3449,1,3,8,0,9.0,16671500
3362,5,4,14,0,8.9,18327000
1340,1,5,11,2,8.2,9820000
2524,5,5,17,2,10.0,16384000
677,5,2,4,1,7.8,8589500
2624,5,3,14,2,9.8,16204000
2582,5,5,18,3,9.3,16457000
1168,3,3,23,3,9.7,9818000
2557,3,1,24,1,8.9,13309500
861,3,2,18,3,8.5,8213500
3759,5,1,25,3,9.2,18986500
3361,6,4,21,3,8.4,18873500
3482,4,5,18,1,7.8,18107000
3733,5,5,11,1,6.9,19475500
1693,2,3,1,0,7.9,10935500
2812,5,4,18,3,7.0,16042000
3601,1,2,8,3,6.5,16503500
3540,2,2,13,3,9.9,17900000
3940,4,5,17,2,8.0,20040000
2490,5,3,21,3,8.2,14945000
2989,6,2,23,1,8.9,16671500
1822,4,5,0,0,9.9,13837000
2819,1,1,6,0,7.0,13166500
2177,4,4,22,0,7.8,12839500
1951,2,1,22,3,8.9,11188500
3288,1,4,14,0,5.8,14828000
618,5,2,6,0,8.3,8283000
1212,1,4,4,3,6.8,9062000
1226,2,2,15,2,9.5,9341000
1049,4,3,2,2,9.2,10551500
3949,1,4,0,1,9.1,19361500
3443,5,1,16,1,6.3,16770500
820,6,3,18,1,6.9,8830000
1491,4,3,2,1,7.7,11298500
2646,2,4,1,2,9.9,15771000
2546,5,3,17,3,7.9,15221000
1662,5,1,5,0,8.7,11847000
2411,1,5,13,3,8.8,13908500
2926,6,2,0,2,6.8,16961000
2071,1,2,5,1,8.6,11738500
1096,4,1,8,3,9.0,9936000
3866,4,3,22,1,8.4,18891000
2877,2,5,2,3,5.3,15189500
1303,1,5,9,3,6.5,9310500
2410,1,4,25,0,7.9,12045000
3553,1,4,12,2,8.4,17295500
2187,1,3,23,3,7.1,11344500
678,4,2,24,0,9.9,7733000
3232,5,4,5,3,6.5,17962000
3766,6,3,7,1,5.4,19091000
3787,1,4,21,0,7.7,16984500
2757,4,3,12,3,5.5,14749500
2880,6,5,1,0,7.8,17650000
1219,2,1,9,3,9.1,9356500
1140,6,4,6,0,7.6,10930000
786,5,5,17,0,5.5,8101000
3973,6,1,8,2,5.2,19285500
2914,1,3,9,1,5.8,13669000
1792,4,1,15,2,6.6,10862000
1331,4,1,3,1,9.4,10768500
2049,1,5,20,1,6.2,10851500
1803,4,4,14,3,7.0,12210500
2389,4,5,1,2,9.4,15971500
1329,1,3,0,1,9.6,10091500
611,3,2,22,1,8.3,6658500
1346,6,3,9,0,5.5,10361000
2322,2,4,7,1,9.1,13817000
2053,5,2,17,0,8.9,12995500
1282,1,5,11,3,6.3,9057000
2088,2,2,0,3,7.6,12548000
846,4,2,16,1,9.2,8641000
3232,5,5,23,0,7.3,17082000
3616,1,5,2,0,7.6,17596000
1069,5,1,18,1,6.7,8521500
1175,1,3,20,3,6.2,7592500
1673,6,3,9,3,7.0,12705500
3136,4,1,19,2,6.7,15406000
1765,2,2,11,3,9.9,11787500
3823,3,1,9,1,6.3,17450500
2532,4,4,13,2,5.2,13892000
2644,6,4,20,3,8.2,16334000
802,3,4,20,1,7.1,7547000
1471,3,3,2,2,9.9,11808500
3157,3,4,8,1,6.2,16029500
3360,4,3,25,2,9.7,17690000
3597,6,3,7,0,5.4,18299500
3417,4,3,16,2,5.7,16739500
1720,5,3,4,1,7.7,12500000
1323,4,5,5,2,5.3,10400500
3123,2,5,9,0,7.7,16060500
2713,2,5,24,3,7.3,14315500
2714,1,2,19,1,6.3,12369000
3108,5,1,17,1,7.8,16148000
1882,5,2,25,1,7.5,11637000
3754,4,3,7,3,7.7,19369000
2632,5,4,21,3,8.8,15982000
3678,1,1,20,2,7.2,15953000
1724,3,3,21,3,9.5,11784000
3892,4,3,17,1,5.6,18112000
3494,3,2,5,1,6.3,16799000
1958,1,1,8,2,9.6,11493000
1570,5,3,0,1,5.8,11415000
856,5,1,2,3,6.3,8816000
1092,4,2,22,0,7.3,8242000
1674,6,4,15,1,6.3,12029000
2454,2,4,18,1,7.6,13129000
3001,2,1,15,2,9.6,15293500
3265,1,5,15,2,7.6,16117500
857,3,2,12,3,8.1,8339500
3735,3,1,3,1,7.9,18082500
1902,3,4,5,3,9.5,13507000
3291,5,3,20,0,6.9,16678500
1985,6,4,19,0,7.9,13357500
3423,4,3,7,0,5.5,16730500
3995,5,2,11,2,7.0,19732500
3779,5,3,25,0,6.7,18056500
3814,3,4,0,2,6.2,18929000
2965,3,3,21,3,7.1,15167500
978,6,3,1,0,8.0,10473000
3965,3,4,23,0,6.7,18107500
3690,2,5,18,3,6.3,17635000
612,4,2,1,2,8.0,8292000
3143,2,2,7,0,7.1,15090500
1154,1,4,2,2,8.4,9399000
2148,4,4,13,1,9.7,14148000
2487,3,3,4,0,7.0,13704500
1949,4,5,14,2,8.7,13501500
1612,6,3,15,2,7.0,11992000
2127,3,4,21,0,6.5,11694500
2656,2,2,17,0,9.9,14006000
2083,2,2,11,3,7.5,11940500
716,5,3,21,3,9.0,9056000
2599,2,2,19,3,6.8,13066500
758,2,1,19,0,9.9,6963000
2432,2,4,7,0,7.3,13282000
1679,3,5,21,3,7.1,11266500
2154,3,5,16,3,9.7,14219000
1265,1,2,15,2,7.2,8057500
1577,1,4,12,3,7.0,10019500
3280,6,5,16,3,7.9,18940000
2018,1,1,9,0,8.1,10653000
1948,3,2,9,0,7.8,11588000
2226,2,1,19,2,5.5,10741000
812,1,3,16,2,5.7,6122000
2623,6,5,4,0,7.2,16360500
3888,4,2,25,2,6.7,18038000
2711,4,1,25,3,8.9,14698500
981,4,4,5,3,7.0,9783500
2270,5,3,23,0,7.2,13075000
1647,2,2,8,3,5.5,9764500
1980,4,3,19,1,8.8,12600000
1962,6,1,23,0,8.0,12217000
3957,5,3,13,0,9.9,20559500
2295,5,2,5,2,7.7,14362500
812,2,2,12,2,9.7,8122000
2345,4,1,2,2,7.1,13647500
1313,3,2,15,2,9.8,10265500
2618,1,1,3,0,9.0,13413000
3838,2,3,17,3,8.5,18483000
791,3,5,19,0,5.9,7178500
2166,5,2,18,3,9.6,14221000
896,5,1,23,0,7.8,7906000
803,3,2,20,2,7.8,7430500
1981,3,2,3,3,5.7,11763500
1016,4,3,13,2,5.8,8526000
1280,5,4,9,0,8.4,11090000
1055,4,5,12,3,5.8,9512500
3682,3,1,23,0,9.9,17497000
684,1,2,4,1,9.7,7374000
2964,1,2,8,0,9.0,14674000
1712,4,3,18,2,9.9,12352000
1954,4,2,5,0,7.7,12269000
3369,2,3,13,1,8.3,16561500
3948,2,2,18,0,6.6,17158000
1448,3,3,22,3,5.7,9248000
1386,3,4,8,1,9.7,11231000
3771,3,3,2,0,9.3,19218500
2574,6,1,23,2,5.5,13759000
3453,2,5,6,2,8.9,18245500
3733,4,1,23,0,9.7,18095500
3187,6,4,7,0,7.0,17804500
3201,2,2,7,1,7.9,15813500
3765,3,5,10,1,6.7,18557500
942,3,1,17,0,6.7,6927000
3417,2,4,10,0,7.4,16619500
3333,4,1,23,3,8.4,16775500
3240,3,5,21,3,7.2,16770000
2295,1,5,19,3,9.3,13402500
1531,6,1,1,2,9.3,12728500
3706,5,3,23,0,6.9,17981000
2854,4,4,17,2,8.3,16059000
3694,3,4,10,3,5.2,17809000
2180,2,3,8,2,8.7,13010000
3842,4,1,25,0,7.2,17377000
1471,2,3,3,1,9.7,10978500
2861,6,2,18,2,8.6,16553500
1126,4,4,25,3,8.8,10011000
1484,6,1,16,2,7.8,11214000
2246,4,4,19,1,8.2,13591000
3147,3,2,13,3,9.8,16984500
2304,3,4,1,0,8.6,14154000
1072,4,4,11,3,8.5,10402000
721,3,2,7,3,6.8,7593500
1841,5,2,7,2,7.4,12553500
2723,2,2,7,2,9.7,15060500
3004,2,1,0,1,8.8,15534000
3844,3,3,17,2,6.1,17844000
3154,3,5,18,1,6.0,15739000
1503,2,3,22,2,9.5,10260500
3324,3,5,13,1,9.8,18104000
2998,5,1,6,2,7.9,16553000
3049,5,2,13,3,9.8,17641500
1518,1,1,19,3,6.6,8403000
3857,2,3,12,1,9.0,18599500
955,2,4,7,0,8.5,8592500
3484,1,5,20,3,8.2,17074000
1701,1,3,8,0,6.0,9353500
1094,1,1,7,0,5.1,6319000
3642,2,1,2,0,7.7,17027000
1280,5,4,19,2,7.2,10510000
3672,6,3,4,3,6.2,19632000
3775,2,4,17,0,9.0,18162500
902,1,2,5,2,6.8,7127000
2830,1,4,24,3,5.1,13045000
3777,4,2,7,3,5.4,18229500
2948,3,5,10,1,8.8,16538000
2644,6,4,24,2,5.9,15014000
1318,5,4,0,1,9.1,12153000
2123,3,5,13,1,9.6,13820500
1317,1,5,2,2,6.5,9509500
3967,2,4,5,1,7.2,18914500
1190,5,3,3,3,7.0,10815000
3851,2,3,5,1,6.1,17768500
3212,4,3,16,0,8.9,16902000
2750,1,4,1,3,6.7,14555000
682,3,5,4,0,7.8,8307000
816,1,5,11,2,9.2,8386000
1453,3,4,20,0,7.5,9785500
972,2,5,25,3,5.5,7452000
1267,3,1,1,2,8.7,10064500
2370,2,1,25,1,6.1,10985000
1838,2,1,16,2,7.9,10493000
2055,4,5,23,1,5.3,11862500
1619,6,2,14,0,8.4,11926500
2437,3,5,2,1,7.8,14749500
726,1,2,12,1,9.9,7201000
3623,2,3,2,1,9.4,18440500
3984,4,1,17,2,5.0,17794000
3677,6,2,0,0,7.0,19269500
1738,6,1,21,0,7.3,11253000
3620,6,4,6,2,7.3,19890000
3038,4,5,25,0,7.7,15963000
759,5,2,5,1,7.1,8546500
3095,1,5,4,0,5.0,14632500
1499,5,5,13,2,5.0,10996500
3195,1,5,19,3,8.7,16312500
1245,1,2,21,0,8.9,7967500
1453,4,4,10,1,5.1,10025500
1758,6,1,25,3,7.9,11963000
1092,5,4,15,3,5.8,9692000
3990,4,4,13,1,5.0,18715000
1549,1,5,8,0,5.8,9341500
1735,6,3,14,1,6.6,12112500
3983,2,4,7,0,7.7,18870500
986,1,2,9,2,8.7,7981000
2061,3,1,14,1,7.1,11353500
600,1,4,11,2,9.9,7610000
1907,6,4,18,3,9.0,14174500
1715,1,5,12,0,5.6,9642500
3851,2,1,11,0,8.2,17508500
3250,1,4,22,2,8.0,15575000
1190,6,2,15,1,5.1,9255000
1061,5,1,9,0,8.7,9543500
2864,6,1,23,3,7.0,15574000
2930,5,3,25,3,7.5,16005000
1045,4,5,22,3,9.4,10417500
1604,6,5,25,3,7.9,12624000
1405,1,5,25,1,5.7,8147500
2844,2,4,11,3,8.8,15724000
1906,3,5,20,2,8.6,12511000
2132,1,4,5,3,6.1,11952000
3487,5,5,11,2,9.8,19974500
3079,5,4,16,0,8.7,17156500
1906,5,2,9,2,9.7,13601000
849,6,3,0,3,7.0,10271500
3357,2,3,14,2,6.0,15749500
3285,4,4,15,2,6.3,16867500
3155,2,1,22,3,5.5,14042500
3855,2,5,8,3,7.8,19312500
2854,2,4,4,1,5.5,14389000
3730,5,4,12,0,6.8,18875000
2580,2,1,19,3,9.6,13820000
2403,4,2,17,1,5.7,12640500
1284,1,3,21,2,7.4,8204000
3021,6,4,23,0,6.1,16063500
3604,6,3,20,2,9.9,19874000
2049,4,3,3,2,9.5,14121500
1847,5,1,3,2,9.5,13314500
3166,4,5,22,3,5.4,16241000
1083,3,3,19,0,9.5,9040500
2434,2,3,21,2,7.3,12689000
2967,2,2,24,3,6.2,13864500
2091,4,1,13,0,8.2,12248500
3671,1,1,22,0,5.6,14788500
3099,2,4,20,1,6.2,14726500
2413,2,3,24,1,9.5,13145500
2926,6,4,18,0,5.1,15581000
2632,2,3,5,1,8.0,14262000
1922,4,5,19,1,7.8,12597000
3502,5,1,16,1,9.2,18137000
1352,5,5,2,0,6.3,11152000
1520,1,3,8,2,6.4,9280000
1268,1,4,3,1,9.9,10148000
1740,6,3,21,0,7.1,11780000
3242,5,2,6,2,8.9,18107000
3504,1,1,11,1,10.0,16714000
1239,1,4,16,0,6.6,7876500
850,2,4,5,2,6.3,7845000
999,3,4,6,2,7.1,9136500
3549,4,1,13,1,7.5,17271500
1573,1,5,21,0,7.6,9495500
1855,6,3,2,0,6.1,12732500
1131,6,5,25,3,6.3,10328500
1820,5,1,0,1,7.2,12250000
635,5,2,16,2,5.6,7162500
2956,1,1,18,3,8.1,14086000
3865,5,2,5,3,6.8,19697500
2029,3,2,14,2,9.3,12621500
2162,5,1,16,0,8.3,12887000
2156,1,1,9,0,8.0,11096000
887,2,3,7,2,7.6,8094500
3063,4,5,16,3,9.5,17820500
2289,5,2,8,0,5.9,13071500
3531,3,1,8,3,8.8,17878500
1913,4,1,21,3,7.4,11505500
2319,5,5,3,1,5.2,14246500
1296,2,2,24,3,6.4,8096000
1016,4,3,17,2,8.4,9366000
2678,4,1,24,0,8.5,13873000
3604,1,5,5,3,7.2,17844000
1598,3,3,2,2,8.6,11733000
2280,1,3,23,3,9.4,12590000
2274,3,4,16,3,8.6,13899000
1560,6,5,22,1,9.6,12900000
1716,2,2,9,0,6.9,9916000
2936,3,2,23,0,7.8,14346000
3942,2,1,0,0,8.5,18497000
1998,2,1,0,1,8.5,11893000
2363,1,3,5,0,7.6,12460500
1194,4,4,22,2,9.6,10519000
3027,1,1,18,2,6.9,13654500
2786,5,4,3,2,9.6,17541000
2672,5,1,4,1,6.4,14712000
3515,3,2,3,0,5.7,16532500
1254,5,1,12,3,5.9,9549000
2942,1,5,19,0,8.0,14547000
2404,6,5,6,1,5.6,15054000
3660,3,1,19,3,6.7,16940000
3241,6,2,24,1,6.9,16703500
1553,1,4,21,0,9.7,9965500
2902,4,4,11,1,7.9,16167000
855,3,2,6,0,7.2,7672500
727,6,5,22,2,5.5,8544500
3213,3,4,11,1,9.6,17435500
2882,1,1,1,2,6.1,13677000
3325,2,5,23,1,9.9,17147500
3275,6,4,9,3,9.7,19692500
2014,5,1,2,3,5.7,12629000
798,1,4,11,2,9.4,8103000
1825,2,4,5,3,6.3,11457500
3029,5,3,5,0,5.6,15991500
1728,2,2,23,1,5.1,8738000
3185,3,2,18,0,6.7,15027500
3655,4,1,0,2,9.6,19332500
652,4,1,4,0,7.6,7422000
1875,6,4,12,3,9.3,14482500
773,4,5,0,2,7.8,9725500
1295,2,5,4,2,8.6,10672500
1908,5,1,16,0,7.7,11758000
899,5,1,22,3,5.6,7686500
838,3,5,15,2,8.7,9063000
1850,1,3,3,1,5.3,10045000
3898,2,1,16,2,7.0,17343000
3611,6,3,7,0,6.8,18908500
1130,4,5,10,2,7.9,10515000
2610,3,2,21,2,7.1,13425000
2861,6,1,23,0,7.1,15003500
3712,1,4,4,1,6.6,17332000
2171,2,3,16,2,8.9,12658500
3240,1,3,23,3,5.1,14230000
1019,4,4,3,2,8.2,10296500
2074,4,2,18,2,9.6,13199000
1174,6,2,7,2,6.6,10399000
906,2,2,12,2,5.4,6731000
3018,4,2,8,1,7.0,15763000
3810,3,3,24,2,7.5,17935000
3188,6,1,21,0,5.7,15688000
3803,3,2,6,1,9.3,19030500
2234,4,5,7,2,7.3,14289000
2664,4,3,7,0,5.7,14154000
875,1,3,8,1,8.9,7822500
3405,6,4,6,3,5.2,18497500
1488,1,1,20,1,5.8,7528000
836,4,4,24,1,8.7,8606000
1964,4,2,13,1,5.1,11064000
811,4,1,0,0,7.0,7938500
2216,1,1,9,1,9.1,11946000
1905,5,1,4,0,7.2,12147500
2313,5,2,10,1,8.9,14455500
2828,2,1,7,2,7.2,14128000
2310,6,2,16,3,5.9,13845000
1394,4,1,17,2,6.4,9289000
2750,6,5,23,1,6.8,15895000
3907,4,4,13,2,6.9,19384500
1746,3,3,18,0,6.9,10371000
3702,4,3,15,0,9.7,18987000
3996,1,4,21,3,8.5,18636000
2727,1,2,23,3,6.1,12534500
3447,5,5,18,1,8.1,18604500
2343,4,2,2,1,8.9,14460500
2150,2,2,25,1,5.2,10155000
2339,2,1,8,2,6.7,12166500
998,4,2,22,2,9.8,9313000
693,3,3,16,3,7.2,7505500
2457,5,1,0,2,9.7,15679500
954,6,1,21,3,7.3,9109000
2991,1,5,5,3,9.5,16618500
1007,6,5,2,0,8.9,11484500
3483,5,1,23,1,5.7,16320500
1762,5,1,3,2,7.3,12137000
2898,5,5,25,2,6.0,15693000
2111,4,3,19,1,6.8,12258500
3013,2,2,20,3,6.0,14145500
1432,4,2,10,1,8.2,10592000
2645,1,4,5,0,7.2,13587500
3308,3,4,9,1,7.7,17108000
1266,2,4,17,2,9.2,9861000
801,6,5,20,1,9.7,10383500
3811,6,4,14,3,9.2,21118500
753,6,4,10,2,9.1,10375500
3170,1,5,19,0,6.4,14705000
1915,4,4,20,2,9.1,12942500
2341,3,3,15,2,6.5,12843500
996,4,3,19,1,8.0,8836000
3521,4,3,24,2,5.7,16703500
901,1,5,0,0,7.4,8113500
896,3,1,12,2,9.8,8656000
846,2,2,0,1,7.1,7601000
3000,5,4,2,0,6.9,16860000
1522,6,1,0,0,8.0,11827000
1769,5,3,0,2,6.6,12631500
1414,6,2,4,1,5.5,10749000
3833,5,2,20,1,9.7,19595500
1666,1,1,0,3,6.5,9831000
784,4,4,20,0,9.7,8824000
1772,6,2,25,1,6.3,11272000
1158,1,2,19,3,7.1,7643000
3599,6,4,23,1,7.5,18846500
1535,3,3,9,0,7.5,10322500
3890,4,3,3,1,9.5,20365000
2903,1,2,5,1,7.6,14250500
3037,2,4,16,3,8.5,16029500
1530,3,1,20,2,5.1,8595000
3091,2,5,17,2,5.2,14948500
2529,1,1,11,2,8.2,12781500
3999,1,4,9,1,8.5,18846500
3366,1,5,16,3,8.2,16861000
2225,6,5,6,3,7.3,15507500
2850,6,5,0,1,5.0,16675000
3625,3,5,18,0,5.8,17107500
3822,2,5,0,1,7.1,18917000
2283,5,5,9,3,9.9,16100500
3196,3,1,22,0,6.8,14606000
1356,6,4,8,0,8.6,11986000
2164,1,1,24,0,9.7,11054000
2542,3,4,8,1,6.9,14157000
1745,2,4,8,1,6.0,10507500
1574,2,3,23,1,9.2,10139000
1109,2,5,16,0,6.7,8261500
897,4,2,21,2,7.3,8009500
3645,3,2,19,0,9.6,17747500
1773,5,3,3,0,9.2,13135500
2584,3,5,7,0,6.0,14094000
1088,6,5,2,1,9.9,12368000
2940,4,1,10,1,7.3,15210000
2727,1,2,16,1,9.8,13964500
2500,3,5,0,2,7.7,15230000
1044,2,4,4,0,5.7,7934000
2899,6,3,2,0,8.8,17466500
3669,1,3,10,1,6.6,16581500
3705,6,1,17,0,5.6,17657500
794,6,4,9,3,7.2,10009000
1882,5,1,20,0,9.4,12147000
3147,4,5,21,3,6.3,16584500
2347,4,2,25,3,6.9,12924500
2656,1,2,1,3,5.2,13026000
2203,4,2,6,0,6.7,12690500
2335,5,2,9,3,9.5,15222500
2655,2,3,2,2,7.5,14492500
986,6,1,17,3,6.4,9061000
3012,2,1,25,2,9.7,14872000
1027,1,1,22,3,6.6,6534500
3307,1,3,11,3,5.2,15104500
3944,1,1,20,2,7.7,17084000
2304,5,1,24,3,9.3,13984000
2774,6,2,11,0,9.2,16439000
1804,4,5,3,0,7.1,12504000
2716,3,4,4,3,9.4,16366000
1488,5,4,2,2,5.9,11568000
1902,1,1,12,3,7.5,10457000
3297,6,4,20,0,8.3,18059500
3106,2,5,18,3,7.6,16111000
1974,3,1,9,2,8.4,12019000
2551,2,5,13,0,9.6,14618500
3844,3,2,16,2,5.5,17354000
1791,3,5,9,0,5.7,11098500
2660,6,3,16,1,9.0,16210000
952,1,4,9,3,6.3,7702000
961,4,3,16,1,9.7,9543500
2200,3,4,3,0,9.0,13850000
1358,3,5,0,2,6.4,10713000
2679,2,2,4,2,6.6,13816500
2161,5,3,4,2,5.3,13283500
1257,1,2,20,3,9.6,8939500
2415,3,4,8,2,7.1,13992500
1082,2,5,7,0,6.8,8657000
1706,2,1,5,2,5.7,9701000
3189,6,5,21,3,9.6,19051500
1692,1,5,23,3,8.1,10612000
2596,2,3,10,2,9.1,14526000
1890,6,5,5,2,8.0,14465000
1016,1,2,13,1,9.0,7806000
1739,1,1,8,0,8.8,10006500
3583,1,2,5,3,9.0,17590500
3151,1,1,6,3,6.7,14808500
3587,5,4,18,0,8.8,18874500
1830,3,3,14,0,8.7,11585000
1467,6,1,23,3,8.2,11164500
2669,1,4,24,0,6.4,12401500
3626,5,1,3,2,7.6,18781000
3233,2,3,20,0,5.6,14455500
1924,1,4,22,1,5.0,9534000
3792,4,5,13,2,6.0,18922000
3776,5,5,13,1,5.3,18886000
897,5,4,12,2,6.8,9359500
1551,6,4,17,0,9.1,12418500
3000,5,4,16,2,8.6,17240000
2339,5,4,21,3,6.1,13876500
3570,1,3,9,0,5.7,15725000
3910,2,5,5,2,8.2,19615000
1906,6,4,10,0,9.0,13971000
3768,5,1,4,1,8.3,19308000
1399,2,2,19,1,7.4,8706500
1286,1,3,15,1,8.1,8591000
2646,4,2,3,3,7.0,15111000
1133,2,3,21,3,8.6,8855500
2354,4,4,16,3,9.5,15039000
3718,4,1,20,1,7.3,17433000
1574,4,1,1,3,6.4,10919000
3946,3,5,18,1,9.9,20071000
1340,6,3,21,0,6.3,10060000
1323,2,5,22,3,5.3,8750500
1319,4,3,21,3,9.8,10986500
978,5,4,21,2,5.1,8513000
3468,3,3,10,1,7.3,17158000
1633,2,3,12,0,5.4,9175500
2536,1,3,1,3,9.0,14426000
612,1,4,23,3,6.5,5892000
3706,4,2,21,0,9.8,18441000
1562,5,1,13,1,9.1,11457000
1054,2,4,9,3,8.8,9559000
1846,2,4,4,2,9.9,12821000
670,5,3,4,1,6.9,8505000
2522,3,5,1,3,6.5,14977000
2327,5,4,22,2,6.9,13904500
3342,5,4,5,1,8.5,18747000
3479,3,2,20,1,7.0,16276500
1419,2,2,11,1,6.5,8816500
2661,2,5,20,0,9.6,14653500
2708,1,1,18,1,9.7,13458000
2458,4,1,6,3,7.7,14283000
3597,3,5,18,3,8.0,18489500
3911,3,5,0,0,6.3,19208500
1737,2,5,25,1,5.9,9889500
3608,3,1,12,3,9.5,18228000
2313,6,3,6,3,7.7,15375500
2228,5,1,10,2,8.4,13858000
1693,4,1,18,0,5.9,9685500
1370,1,4,8,0,5.8,8415000
3574,1,1,1,0,7.8,16379000
3934,4,4,7,3,6.7,19899000
3337,1,2,3,3,7.9,16389500
1785,2,3,25,1,5.5,9297500
3864,2,1,22,3,9.0,17924000
2817,6,4,16,2,5.9,16019500
1871,2,3,0,2,8.1,12088500
2738,4,1,16,1,6.5,13883000
3753,5,5,3,0,8.5,20385500
2688,2,4,12,0,7.9,14168000
2790,4,1,5,0,6.3,14335000
1454,6,2,5,1,5.0,10639000
1084,6,3,23,0,7.9,9704000
3719,2,1,5,0,9.2,17746500
2474,4,4,20,0,5.7,13139000
